Timestamp,Instance,Algorithm,Best,Average,Worst,StdDev
2025-03-31 09:35:45,5.vrp,TabuSearch,883.89,1073.12,1940.95,118.19
2025-03-31 09:35:45,5.vrp,SimulatedAnnealing,1129.02,1478.31,2250.21,284.17
2025-03-31 09:35:58,6.vrp,GeneticAlgorithm,976.80,999.42,1275.10,67.26
2025-03-31 09:35:58,6.vrp,RandomAlgorithm,1700.06,2092.97,2524.82,132.71
2025-03-31 09:35:58,6.vrp,GreedyAlgorithm,1103.50,1106.51,1108.52,2.46
2025-03-31 09:35:59,6.vrp,TabuSearch,911.66,1100.56,1932.97,123.99
2025-03-31 09:35:59,6.vrp,SimulatedAnnealing,1062.50,1479.43,2339.68,402.50
2025-03-31 09:36:14,7.vrp,GeneticAlgorithm,988.86,1008.20,1225.26,53.26
2025-03-31 09:36:14,7.vrp,RandomAlgorithm,1583.27,1947.34,2330.32,121.65
2025-03-31 09:36:14,7.vrp,GreedyAlgorithm,948.55,953.06,959.84,5.53
2025-03-31 09:36:14,7.vrp,TabuSearch,926.78,1039.29,1867.81,91.71
2025-03-31 09:36:14,7.vrp,SimulatedAnnealing,1099.45,1440.22,2150.68,363.06
