Timestamp,Instance,Algorithm,Best,Average,Worst,StdDev
2025-03-30 20:57:13,1.vrp,GeneticAlgorithm,1165.45,1181.59,1475.71,58.25
2025-03-30 20:57:13,1.vrp,RandomAlgorithm,1804.77,2216.90,2680.72,132.75
2025-03-30 20:57:13,1.vrp,GreedyAlgorithm,1341.88,1341.88,1341.88,0.00
2025-03-30 20:57:19,2.vrp,GeneticAlgorithm,961.16,998.13,1450.85,101.44
2025-03-30 20:57:19,2.vrp,RandomAlgorithm,1639.15,2122.38,2528.35,142.81
2025-03-30 20:57:19,2.vrp,GreedyAlgorithm,1146.40,1146.40,1146.40,0.00
2025-03-30 20:57:25,3.vrp,GeneticAlgorithm,919.35,938.22,1270.30,64.51
2025-03-30 20:57:25,3.vrp,RandomAlgorithm,1394.17,1807.77,2182.81,130.24
2025-03-30 20:57:25,3.vrp,GreedyAlgorithm,978.15,978.15,978.15,0.00
2025-03-30 20:57:31,4.vrp,GeneticAlgorithm,847.07,884.59,1305.46,93.31
2025-03-30 20:57:31,4.vrp,RandomAlgorithm,1437.66,1760.55,2079.65,112.82
2025-03-30 20:57:31,4.vrp,GreedyAlgorithm,1043.27,1043.27,1043.27,0.00
2025-03-30 20:57:38,5.vrp,GeneticAlgorithm,903.01,933.09,1241.94,80.25
2025-03-30 20:57:38,5.vrp,RandomAlgorithm,1533.78,1951.74,2339.02,124.92
2025-03-30 20:57:38,5.vrp,GreedyAlgorithm,946.80,946.80,946.80,0.00
2025-03-30 20:57:44,6.vrp,GeneticAlgorithm,1165.13,1203.38,1519.12,62.31
2025-03-30 20:57:44,6.vrp,RandomAlgorithm,1714.96,2092.37,2475.60,131.23
2025-03-30 20:57:44,6.vrp,GreedyAlgorithm,1103.50,1103.50,1103.50,0.00
2025-03-30 20:57:55,7.vrp,GeneticAlgorithm,910.58,935.67,1274.42,76.81
2025-03-30 20:57:55,7.vrp,RandomAlgorithm,1526.50,1945.16,2329.05,116.64
2025-03-30 20:57:55,7.vrp,GreedyAlgorithm,948.55,948.55,948.55,0.00
2025-03-30 21:01:37,1.vrp,GeneticAlgorithm,1165.56,1189.36,1504.26,67.69
2025-03-30 21:01:37,1.vrp,RandomAlgorithm,1729.70,2217.06,2568.92,133.08
2025-03-30 21:01:37,1.vrp,GreedyAlgorithm,1341.88,1341.88,1341.88,0.00
2025-03-30 21:01:37,1.vrp,TabuSearch,1145.39,1277.90,1909.81,98.62
2025-03-30 21:01:37,1.vrp,SimulatedAnnealing,1205.34,1593.62,2505.15,393.62
2025-03-30 21:01:43,2.vrp,GeneticAlgorithm,1112.27,1132.89,1516.65,69.34
2025-03-30 21:01:43,2.vrp,RandomAlgorithm,1661.16,2126.93,2556.27,142.13
2025-03-30 21:01:43,2.vrp,GreedyAlgorithm,1146.40,1146.40,1146.40,0.00
2025-03-30 21:01:44,2.vrp,TabuSearch,991.39,1164.60,1923.90,92.65
2025-03-30 21:01:44,2.vrp,SimulatedAnnealing,995.68,1491.59,2480.07,390.48
2025-03-30 21:01:50,3.vrp,GeneticAlgorithm,861.38,869.81,1172.16,35.88
2025-03-30 21:01:50,3.vrp,RandomAlgorithm,1389.18,1810.12,2235.56,133.69
2025-03-30 21:01:50,3.vrp,GreedyAlgorithm,978.15,978.15,978.15,0.00
2025-03-30 21:01:50,3.vrp,TabuSearch,794.74,903.13,1850.50,86.83
2025-03-30 21:01:50,3.vrp,SimulatedAnnealing,952.12,1295.04,2121.46,337.56
2025-03-30 21:01:56,4.vrp,GeneticAlgorithm,972.33,993.36,1237.93,46.17
2025-03-30 21:01:56,4.vrp,RandomAlgorithm,1459.28,1765.76,2083.60,109.61
2025-03-30 21:01:56,4.vrp,GreedyAlgorithm,1043.27,1043.27,1043.27,0.00
2025-03-30 21:01:56,4.vrp,TabuSearch,823.80,960.71,1503.76,95.06
2025-03-30 21:01:56,4.vrp,SimulatedAnnealing,1069.82,1354.96,1954.41,255.60
2025-03-30 21:02:03,5.vrp,GeneticAlgorithm,1019.00,1043.46,1420.71,71.75
2025-03-30 21:02:03,5.vrp,RandomAlgorithm,1564.85,1959.71,2312.80,126.66
2025-03-30 21:02:03,5.vrp,GreedyAlgorithm,946.80,946.80,946.80,0.00
2025-03-30 21:02:03,5.vrp,TabuSearch,884.89,992.07,1694.02,88.81
2025-03-30 21:02:03,5.vrp,SimulatedAnnealing,944.17,1339.45,2339.59,398.09
2025-03-30 21:02:09,6.vrp,GeneticAlgorithm,1011.42,1044.02,1350.69,79.26
2025-03-30 21:02:09,6.vrp,RandomAlgorithm,1730.16,2098.21,2547.63,131.49
2025-03-30 21:02:09,6.vrp,GreedyAlgorithm,1103.50,1103.50,1103.50,0.00
2025-03-30 21:02:10,6.vrp,TabuSearch,947.50,1159.46,2101.76,144.10
2025-03-30 21:02:10,6.vrp,SimulatedAnnealing,1137.03,1503.96,2328.70,360.11
2025-03-30 21:02:16,7.vrp,GeneticAlgorithm,927.68,945.27,1241.83,52.27
2025-03-30 21:02:16,7.vrp,RandomAlgorithm,1579.71,1953.53,2308.59,115.01
2025-03-30 21:02:16,7.vrp,GreedyAlgorithm,948.55,948.55,948.55,0.00
2025-03-30 21:02:16,7.vrp,TabuSearch,921.22,1037.58,1794.21,107.03
2025-03-30 21:02:16,7.vrp,SimulatedAnnealing,948.39,1404.56,2164.98,359.74
